image name;longitude;lattude;altitude
IMG_0132.tif;39.707437;32.967137;106.50
IMG_0133.tif;39.707371;32.967289;103.33
IMG_0134.tif;39.707250;32.967475;101.33
IMG_0135.tif;39.707151;32.967599;96.50
IMG_0136.tif;39.707049;32.967718;93.17
IMG_0137.tif;39.706886;32.967868;94.33
IMG_0138.tif;39.706809;32.967913;93.00
IMG_0139.tif;39.706618;32.968054;94.83
IMG_0140.tif;39.706551;32.968110;96.83
IMG_0141.tif;39.706438;32.968193;101.17
IMG_0142.tif;39.706372;32.968232;103.83
IMG_0143.tif;39.706225;32.968320;103.50
IMG_0144.tif;39.706071;32.968417;104.50
IMG_0145.tif;39.705999;32.968488;104.50
IMG_0146.tif;39.705910;32.968561;103.33
IMG_0147.tif;39.705829;32.968609;102.17
IMG_0148.tif;39.705712;32.968669;102.17
IMG_0149.tif;39.705644;32.968711;100.50
IMG_0150.tif;39.705546;32.968781;100.67
IMG_0151.tif;39.705404;32.968930;104.83
IMG_0152.tif;39.705308;32.969018;105.17
IMG_0153.tif;39.705244;32.969067;104.67
IMG_0154.tif;39.705029;32.969218;106.33
IMG_0155.tif;39.704901;32.969292;105.83
IMG_0156.tif;39.704795;32.969360;102.67
IMG_0157.tif;39.704651;32.969469;101.17
IMG_0158.tif;39.704543;32.969557;100.00
IMG_0159.tif;39.704409;32.969650;96.83
IMG_0160.tif;39.704359;32.969688;97.00
IMG_0161.tif;39.704244;32.969782;95.83
IMG_0162.tif;39.704130;32.969862;93.83
IMG_0163.tif;39.703882;32.970023;95.50
IMG_0164.tif;39.703753;32.970041;97.67
IMG_0165.tif;39.703638;32.969833;100.17
IMG_0166.tif;39.703677;32.969538;100.50
IMG_0167.tif;39.703889;32.969236;100.83
IMG_0168.tif;39.704152;32.969068;99.67
IMG_0169.tif;39.704505;32.968943;98.17
IMG_0170.tif;39.705043;32.968726;100.00
IMG_0171.tif;39.705354;32.968547;99.67
IMG_0172.tif;39.705780;32.968224;98.17
IMG_0173.tif;39.705966;32.968070;96.83
IMG_0174.tif;39.706414;32.967742;97.83
IMG_0175.tif;39.706743;32.967516;99.67
IMG_0176.tif;39.706940;32.967383;99.67
IMG_0177.tif;39.707389;32.967084;103.33
IMG_0178.tif;39.707630;32.966814;105.83
IMG_0179.tif;39.707647;32.966566;107.67
IMG_0180.tif;39.707548;32.966449;107.50
IMG_0181.tif;39.707403;32.966462;107.17
IMG_0182.tif;39.707274;32.966585;106.33
IMG_0183.tif;39.707144;32.966770;106.17
IMG_0184.tif;39.707044;32.966912;103.00
IMG_0185.tif;39.706952;32.967013;102.00
IMG_0186.tif;39.706893;32.967075;101.67
IMG_0187.tif;39.706777;32.967185;97.50
IMG_0188.tif;39.706698;32.967247;96.33
IMG_0189.tif;39.706647;32.967293;96.33
IMG_0190.tif;39.706586;32.967347;95.67
IMG_0191.tif;39.706530;32.967389;94.83
IMG_0192.tif;39.706383;32.967488;98.67
IMG_0193.tif;39.706234;32.967604;102.17
IMG_0194.tif;39.706102;32.967733;99.33
IMG_0195.tif;39.706001;32.967806;97.50
IMG_0196.tif;39.705921;32.967856;97.00
IMG_0197.tif;39.705819;32.967924;97.17
IMG_0198.tif;39.705755;32.967973;98.17
IMG_0199.tif;39.705607;32.968090;99.33
IMG_0200.tif;39.705499;32.968173;100.50
IMG_0201.tif;39.705410;32.968236;100.83
IMG_0202.tif;39.705254;32.968343;100.17
IMG_0203.tif;39.705157;32.968409;99.67
IMG_0204.tif;39.705016;32.968504;100.00
IMG_0205.tif;39.704914;32.968583;99.83
IMG_0206.tif;39.704722;32.968716;100.17
IMG_0207.tif;39.704637;32.968775;100.67
IMG_0208.tif;39.704502;32.968872;103.00
IMG_0209.tif;39.704425;32.968935;103.50
IMG_0210.tif;39.704375;32.968973;103.67
IMG_0211.tif;39.704279;32.969037;102.67
IMG_0212.tif;39.704188;32.969085;102.67
IMG_0213.tif;39.704032;32.969197;104.17
IMG_0214.tif;39.703896;32.969304;102.33
IMG_0215.tif;39.703800;32.969397;101.83
IMG_0216.tif;39.703726;32.969462;99.83
IMG_0217.tif;39.703616;32.969529;97.00
IMG_0218.tif;39.703475;32.969622;98.67
IMG_0219.tif;39.703367;32.969707;97.17
IMG_0220.tif;39.703200;32.969783;100.33
